NearestNeighbor	dH0	dS0	OligoType	InteractionType	Reference
5trCrG/rUrU	-1.4	-2.58	RNA/RNA	Terminal Mismatch	"Xia, T., Mathews, D.H. and Turner, D.H. (1999) In Söll, D. G., Nishimura, S. and Moore, P. B. (eds.), Prebiotic Chemistry, Molecular Fossils, Nucleosides, and RNA. Elsevier, New York, pp. 21-47."
5trGrG/rUrU	-4.3	-11.61	RNA/RNA	Terminal Mismatch	"Xia, T., Mathews, D.H. and Turner, D.H. (1999) In Söll, D. G., Nishimura, S. and Moore, P. B. (eds.), Prebiotic Chemistry, Molecular Fossils, Nucleosides, and RNA. Elsevier, New York, pp. 21-47."
5trUrG/rUrU	1.4	6.13	RNA/RNA	Terminal Mismatch	"Xia, T., Mathews, D.H. and Turner, D.H. (1999) In Söll, D. G., Nishimura, S. and Moore, P. B. (eds.), Prebiotic Chemistry, Molecular Fossils, Nucleosides, and RNA. Elsevier, New York, pp. 21-47."
rArArA/rUrArU	-0.5	-7.7	RNA/RNA	Mismatch	"Mathews et al. (2004) Proc. Natl. Acad. Sci. USA, 101, 7287-7292 & Lu, et al. (2006) Nucleic Acids Res., 34 4912 - 4924."
rArArA/rUrCrU	-0.5	-7.7	RNA/RNA	Mismatch	"Mathews et al. (2004) Proc. Natl. Acad. Sci. USA, 101, 7287-7292 & Lu, et al. (2006) Nucleic Acids Res., 34 4912 - 4924."
rArArA/rUrGrU	-0.5	-7.7	RNA/RNA	Mismatch	"Mathews et al. (2004) Proc. Natl. Acad. Sci. USA, 101, 7287-7292 & Lu, et al. (2006) Nucleic Acids Res., 34 4912 - 4924."
rArArA/rUrUrU	-0.5	-7.7	RNA/RNA	Mismatch	"Mathews et al. (2004) Proc. Natl. Acad. Sci. USA, 101, 7287-7292 & Lu, et al. (2006) Nucleic Acids Res., 34 4912 - 4924."
rArCrA/rUrArU	-0.5	-7.7	RNA/RNA	Mismatch	"Mathews et al. (2004) Proc. Natl. Acad. Sci. USA, 101, 7287-7292 & Lu, et al. (2006) Nucleic Acids Res., 34 4912 - 4924."
rArCrA/rUrCrU	-0.5	-7.7	RNA/RNA	Mismatch	"Mathews et al. (2004) Proc. Natl. Acad. Sci. USA, 101, 7287-7292 & Lu, et al. (2006) Nucleic Acids Res., 34 4912 - 4924."
rArCrA/rUrGrU	-0.5	-7.7	RNA/RNA	Mismatch	"Mathews et al. (2004) Proc. Natl. Acad. Sci. USA, 101, 7287-7292 & Lu, et al. (2006) Nucleic Acids Res., 34 4912 - 4924."
rArCrA/rUrUrU	-0.5	-7.7	RNA/RNA	Mismatch	"Mathews et al. (2004) Proc. Natl. Acad. Sci. USA, 101, 7287-7292 & Lu, et al. (2006) Nucleic Acids Res., 34 4912 - 4924."
rArGrA/rUrArU	-0.5	-7.7	RNA/RNA	Mismatch	"Mathews et al. (2004) Proc. Natl. Acad. Sci. USA, 101, 7287-7292 & Lu, et al. (2006) Nucleic Acids Res., 34 4912 - 4924."
rArGrA/rUrCrU	-0.5	-7.7	RNA/RNA	Mismatch	"Mathews et al. (2004) Proc. Natl. Acad. Sci. USA, 101, 7287-7292 & Lu, et al. (2006) Nucleic Acids Res., 34 4912 - 4924."
rArGrA/rUrGrU	-8.3	-24.5	RNA/RNA	Mismatch	"Mathews et al. (2004) Proc. Natl. Acad. Sci. USA, 101, 7287-7292 & Lu, et al. (2006) Nucleic Acids Res., 34 4912 - 4924."
rArGrA/rUrUrU	-0.5	-7.7	RNA/RNA	Mismatch	"Mathews et al. (2004) Proc. Natl. Acad. Sci. USA, 101, 7287-7292 & Lu, et al. (2006) Nucleic Acids Res., 34 4912 - 4924."
rArUrA/rUrArU	-0.5	-7.7	RNA/RNA	Mismatch	"Mathews et al. (2004) Proc. Natl. Acad. Sci. USA, 101, 7287-7292 & Lu, et al. (2006) Nucleic Acids Res., 34 4912 - 4924."
rArUrA/rUrCrU	-0.5	-7.7	RNA/RNA	Mismatch	"Mathews et al. (2004) Proc. Natl. Acad. Sci. USA, 101, 7287-7292 & Lu, et al. (2006) Nucleic Acids Res., 34 4912 - 4924."
rArUrA/rUrGrU	-0.5	-7.7	RNA/RNA	Mismatch	"Mathews et al. (2004) Proc. Natl. Acad. Sci. USA, 101, 7287-7292 & Lu, et al. (2006) Nucleic Acids Res., 34 4912 - 4924."
rArUrA/rUrUrU	-3.9	-17.4	RNA/RNA	Mismatch	"Mathews et al. (2004) Proc. Natl. Acad. Sci. USA, 101, 7287-7292 & Lu, et al. (2006) Nucleic Acids Res., 34 4912 - 4924."
rArArC/rUrArG	-5.5	-21.6	RNA/RNA	Mismatch	"Mathews et al. (2004) Proc. Natl. Acad. Sci. USA, 101, 7287-7292 & Lu, et al. (2006) Nucleic Acids Res., 34 4912 - 4924."
rArArC/rUrCrG	-5.5	-21.6	RNA/RNA	Mismatch	"Mathews et al. (2004) Proc. Natl. Acad. Sci. USA, 101, 7287-7292 & Lu, et al. (2006) Nucleic Acids Res., 34 4912 - 4924."
rArArC/rUrGrG	-5.5	-21.6	RNA/RNA	Mismatch	"Mathews et al. (2004) Proc. Natl. Acad. Sci. USA, 101, 7287-7292 & Lu, et al. (2006) Nucleic Acids Res., 34 4912 - 4924."
rArArC/rUrUrG	-5.5	-21.6	RNA/RNA	Mismatch	"Mathews et al. (2004) Proc. Natl. Acad. Sci. USA, 101, 7287-7292 & Lu, et al. (2006) Nucleic Acids Res., 34 4912 - 4924."
rArCrC/rUrArG	-5.5	-21.6	RNA/RNA	Mismatch	"Mathews et al. (2004) Proc. Natl. Acad. Sci. USA, 101, 7287-7292 & Lu, et al. (2006) Nucleic Acids Res., 34 4912 - 4924."
rArCrC/rUrCrG	-5.5	-21.6	RNA/RNA	Mismatch	"Mathews et al. (2004) Proc. Natl. Acad. Sci. USA, 101, 7287-7292 & Lu, et al. (2006) Nucleic Acids Res., 34 4912 - 4924."
rArCrC/rUrGrG	-5.5	-21.6	RNA/RNA	Mismatch	"Mathews et al. (2004) Proc. Natl. Acad. Sci. USA, 101, 7287-7292 & Lu, et al. (2006) Nucleic Acids Res., 34 4912 - 4924."
rArCrC/rUrUrG	-5.5	-21.6	RNA/RNA	Mismatch	"Mathews et al. (2004) Proc. Natl. Acad. Sci. USA, 101, 7287-7292 & Lu, et al. (2006) Nucleic Acids Res., 34 4912 - 4924."
rArGrC/rUrArG	-5.5	-21.6	RNA/RNA	Mismatch	"Mathews et al. (2004) Proc. Natl. Acad. Sci. USA, 101, 7287-7292 & Lu, et al. (2006) Nucleic Acids Res., 34 4912 - 4924."
rArGrC/rUrCrG	-5.5	-21.6	RNA/RNA	Mismatch	"Mathews et al. (2004) Proc. Natl. Acad. Sci. USA, 101, 7287-7292 & Lu, et al. (2006) Nucleic Acids Res., 34 4912 - 4924."
rArGrC/rUrGrG	-13.4	-38.7	RNA/RNA	Mismatch	"Mathews et al. (2004) Proc. Natl. Acad. Sci. USA, 101, 7287-7292 & Lu, et al. (2006) Nucleic Acids Res., 34 4912 - 4924."
rArGrC/rUrUrG	-5.5	-21.6	RNA/RNA	Mismatch	"Mathews et al. (2004) Proc. Natl. Acad. Sci. USA, 101, 7287-7292 & Lu, et al. (2006) Nucleic Acids Res., 34 4912 - 4924."
rArUrC/rUrArG	-5.5	-21.6	RNA/RNA	Mismatch	"Mathews et al. (2004) Proc. Natl. Acad. Sci. USA, 101, 7287-7292 & Lu, et al. (2006) Nucleic Acids Res., 34 4912 - 4924."
rArUrC/rUrCrG	-5.5	-21.6	RNA/RNA	Mismatch	"Mathews et al. (2004) Proc. Natl. Acad. Sci. USA, 101, 7287-7292 & Lu, et al. (2006) Nucleic Acids Res., 34 4912 - 4924."
rArUrC/rUrGrG	-5.5	-21.6	RNA/RNA	Mismatch	"Mathews et al. (2004) Proc. Natl. Acad. Sci. USA, 101, 7287-7292 & Lu, et al. (2006) Nucleic Acids Res., 34 4912 - 4924."
rArUrC/rUrUrG	-12.3	-42.2	RNA/RNA	Mismatch	"Mathews et al. (2004) Proc. Natl. Acad. Sci. USA, 101, 7287-7292 & Lu, et al. (2006) Nucleic Acids Res., 34 4912 - 4924."
rArArG/rUrArC	-5.5	-21.6	RNA/RNA	Mismatch	"Mathews et al. (2004) Proc. Natl. Acad. Sci. USA, 101, 7287-7292 & Lu, et al. (2006) Nucleic Acids Res., 34 4912 - 4924."
rArArG/rUrCrC	-5.5	-21.6	RNA/RNA	Mismatch	"Mathews et al. (2004) Proc. Natl. Acad. Sci. USA, 101, 7287-7292 & Lu, et al. (2006) Nucleic Acids Res., 34 4912 - 4924."
rArArG/rUrGrC	-5.5	-21.6	RNA/RNA	Mismatch	"Mathews et al. (2004) Proc. Natl. Acad. Sci. USA, 101, 7287-7292 & Lu, et al. (2006) Nucleic Acids Res., 34 4912 - 4924."
rArArG/rUrUrC	-5.5	-21.6	RNA/RNA	Mismatch	"Mathews et al. (2004) Proc. Natl. Acad. Sci. USA, 101, 7287-7292 & Lu, et al. (2006) Nucleic Acids Res., 34 4912 - 4924."
rArCrG/rUrArC	-5.5	-21.6	RNA/RNA	Mismatch	"Mathews et al. (2004) Proc. Natl. Acad. Sci. USA, 101, 7287-7292 & Lu, et al. (2006) Nucleic Acids Res., 34 4912 - 4924."
rArCrG/rUrCrC	-5.5	-21.6	RNA/RNA	Mismatch	"Mathews et al. (2004) Proc. Natl. Acad. Sci. USA, 101, 7287-7292 & Lu, et al. (2006) Nucleic Acids Res., 34 4912 - 4924."
rArCrG/rUrGrC	-5.5	-21.6	RNA/RNA	Mismatch	"Mathews et al. (2004) Proc. Natl. Acad. Sci. USA, 101, 7287-7292 & Lu, et al. (2006) Nucleic Acids Res., 34 4912 - 4924."
rArCrG/rUrUrC	-5.5	-21.6	RNA/RNA	Mismatch	"Mathews et al. (2004) Proc. Natl. Acad. Sci. USA, 101, 7287-7292 & Lu, et al. (2006) Nucleic Acids Res., 34 4912 - 4924."
rArGrG/rUrArC	-5.5	-21.6	RNA/RNA	Mismatch	"Mathews et al. (2004) Proc. Natl. Acad. Sci. USA, 101, 7287-7292 & Lu, et al. (2006) Nucleic Acids Res., 34 4912 - 4924."
rArGrG/rUrCrC	-5.5	-21.6	RNA/RNA	Mismatch	"Mathews et al. (2004) Proc. Natl. Acad. Sci. USA, 101, 7287-7292 & Lu, et al. (2006) Nucleic Acids Res., 34 4912 - 4924."
rArGrG/rUrGrC	-13.4	-38.7	RNA/RNA	Mismatch	"Mathews et al. (2004) Proc. Natl. Acad. Sci. USA, 101, 7287-7292 & Lu, et al. (2006) Nucleic Acids Res., 34 4912 - 4924."
rArGrG/rUrUrC	-5.5	-21.6	RNA/RNA	Mismatch	"Mathews et al. (2004) Proc. Natl. Acad. Sci. USA, 101, 7287-7292 & Lu, et al. (2006) Nucleic Acids Res., 34 4912 - 4924."
rArUrG/rUrArC	-5.5	-21.6	RNA/RNA	Mismatch	"Mathews et al. (2004) Proc. Natl. Acad. Sci. USA, 101, 7287-7292 & Lu, et al. (2006) Nucleic Acids Res., 34 4912 - 4924."
rArUrG/rUrCrC	-5.5	-21.6	RNA/RNA	Mismatch	"Mathews et al. (2004) Proc. Natl. Acad. Sci. USA, 101, 7287-7292 & Lu, et al. (2006) Nucleic Acids Res., 34 4912 - 4924."
rArUrG/rUrGrC	-5.5	-21.6	RNA/RNA	Mismatch	"Mathews et al. (2004) Proc. Natl. Acad. Sci. USA, 101, 7287-7292 & Lu, et al. (2006) Nucleic Acids Res., 34 4912 - 4924."
rArUrG/rUrUrC	-8.9	-31.3	RNA/RNA	Mismatch	"Mathews et al. (2004) Proc. Natl. Acad. Sci. USA, 101, 7287-7292 & Lu, et al. (2006) Nucleic Acids Res., 34 4912 - 4924."
rArArU/rUrArA	-0.5	-7.7	RNA/RNA	Mismatch	"Mathews et al. (2004) Proc. Natl. Acad. Sci. USA, 101, 7287-7292 & Lu, et al. (2006) Nucleic Acids Res., 34 4912 - 4924."
rArArU/rUrCrA	-0.5	-7.7	RNA/RNA	Mismatch	"Mathews et al. (2004) Proc. Natl. Acad. Sci. USA, 101, 7287-7292 & Lu, et al. (2006) Nucleic Acids Res., 34 4912 - 4924."
rArArU/rUrGrA	-0.5	-7.7	RNA/RNA	Mismatch	"Mathews et al. (2004) Proc. Natl. Acad. Sci. USA, 101, 7287-7292 & Lu, et al. (2006) Nucleic Acids Res., 34 4912 - 4924."
rArArU/rUrUrA	-0.5	-7.7	RNA/RNA	Mismatch	"Mathews et al. (2004) Proc. Natl. Acad. Sci. USA, 101, 7287-7292 & Lu, et al. (2006) Nucleic Acids Res., 34 4912 - 4924."
rArCrU/rUrArA	-0.5	-7.7	RNA/RNA	Mismatch	"Mathews et al. (2004) Proc. Natl. Acad. Sci. USA, 101, 7287-7292 & Lu, et al. (2006) Nucleic Acids Res., 34 4912 - 4924."
rArCrU/rUrCrA	-0.5	-7.7	RNA/RNA	Mismatch	"Mathews et al. (2004) Proc. Natl. Acad. Sci. USA, 101, 7287-7292 & Lu, et al. (2006) Nucleic Acids Res., 34 4912 - 4924."
rArCrU/rUrGrA	-0.5	-7.7	RNA/RNA	Mismatch	"Mathews et al. (2004) Proc. Natl. Acad. Sci. USA, 101, 7287-7292 & Lu, et al. (2006) Nucleic Acids Res., 34 4912 - 4924."
rArCrU/rUrUrA	-0.5	-7.7	RNA/RNA	Mismatch	"Mathews et al. (2004) Proc. Natl. Acad. Sci. USA, 101, 7287-7292 & Lu, et al. (2006) Nucleic Acids Res., 34 4912 - 4924."
rArGrU/rUrArA	-0.5	-7.7	RNA/RNA	Mismatch	"Mathews et al. (2004) Proc. Natl. Acad. Sci. USA, 101, 7287-7292 & Lu, et al. (2006) Nucleic Acids Res., 34 4912 - 4924."
rArGrU/rUrCrA	-0.5	-7.7	RNA/RNA	Mismatch	"Mathews et al. (2004) Proc. Natl. Acad. Sci. USA, 101, 7287-7292 & Lu, et al. (2006) Nucleic Acids Res., 34 4912 - 4924."
rArGrU/rUrGrA	-8.3	-24.5	RNA/RNA	Mismatch	"Mathews et al. (2004) Proc. Natl. Acad. Sci. USA, 101, 7287-7292 & Lu, et al. (2006) Nucleic Acids Res., 34 4912 - 4924."
rArGrU/rUrUrA	-0.5	-7.7	RNA/RNA	Mismatch	"Mathews et al. (2004) Proc. Natl. Acad. Sci. USA, 101, 7287-7292 & Lu, et al. (2006) Nucleic Acids Res., 34 4912 - 4924."
rArUrU/rUrArA	-0.5	-7.7	RNA/RNA	Mismatch	"Mathews et al. (2004) Proc. Natl. Acad. Sci. USA, 101, 7287-7292 & Lu, et al. (2006) Nucleic Acids Res., 34 4912 - 4924."
rArUrU/rUrCrA	-0.5	-7.7	RNA/RNA	Mismatch	"Mathews et al. (2004) Proc. Natl. Acad. Sci. USA, 101, 7287-7292 & Lu, et al. (2006) Nucleic Acids Res., 34 4912 - 4924."
rArUrU/rUrGrA	-0.5	-7.7	RNA/RNA	Mismatch	"Mathews et al. (2004) Proc. Natl. Acad. Sci. USA, 101, 7287-7292 & Lu, et al. (2006) Nucleic Acids Res., 34 4912 - 4924."
rArUrU/rUrUrA	-7.3	-27.4	RNA/RNA	Mismatch	"Mathews et al. (2004) Proc. Natl. Acad. Sci. USA, 101, 7287-7292 & Lu, et al. (2006) Nucleic Acids Res., 34 4912 - 4924."
rArArG/rUrArU	-0.5	-7.7	RNA/RNA	Mismatch	"Mathews et al. (2004) Proc. Natl. Acad. Sci. USA, 101, 7287-7292 & Lu, et al. (2006) Nucleic Acids Res., 34 4912 - 4924."
rArArG/rUrCrU	-0.5	-7.7	RNA/RNA	Mismatch	"Mathews et al. (2004) Proc. Natl. Acad. Sci. USA, 101, 7287-7292 & Lu, et al. (2006) Nucleic Acids Res., 34 4912 - 4924."
rArArG/rUrGrU	-0.5	-7.7	RNA/RNA	Mismatch	"Mathews et al. (2004) Proc. Natl. Acad. Sci. USA, 101, 7287-7292 & Lu, et al. (2006) Nucleic Acids Res., 34 4912 - 4924."
rArArG/rUrUrU	-0.5	-7.7	RNA/RNA	Mismatch	"Mathews et al. (2004) Proc. Natl. Acad. Sci. USA, 101, 7287-7292 & Lu, et al. (2006) Nucleic Acids Res., 34 4912 - 4924."
rArCrG/rUrArU	-0.5	-7.7	RNA/RNA	Mismatch	"Mathews et al. (2004) Proc. Natl. Acad. Sci. USA, 101, 7287-7292 & Lu, et al. (2006) Nucleic Acids Res., 34 4912 - 4924."
rArCrG/rUrCrU	-0.5	-7.7	RNA/RNA	Mismatch	"Mathews et al. (2004) Proc. Natl. Acad. Sci. USA, 101, 7287-7292 & Lu, et al. (2006) Nucleic Acids Res., 34 4912 - 4924."
rArCrG/rUrGrU	-0.5	-7.7	RNA/RNA	Mismatch	"Mathews et al. (2004) Proc. Natl. Acad. Sci. USA, 101, 7287-7292 & Lu, et al. (2006) Nucleic Acids Res., 34 4912 - 4924."
rArCrG/rUrUrU	-0.5	-7.7	RNA/RNA	Mismatch	"Mathews et al. (2004) Proc. Natl. Acad. Sci. USA, 101, 7287-7292 & Lu, et al. (2006) Nucleic Acids Res., 34 4912 - 4924."
rArGrG/rUrArU	-0.5	-7.7	RNA/RNA	Mismatch	"Mathews et al. (2004) Proc. Natl. Acad. Sci. USA, 101, 7287-7292 & Lu, et al. (2006) Nucleic Acids Res., 34 4912 - 4924."
rArGrG/rUrCrU	-0.5	-7.7	RNA/RNA	Mismatch	"Mathews et al. (2004) Proc. Natl. Acad. Sci. USA, 101, 7287-7292 & Lu, et al. (2006) Nucleic Acids Res., 34 4912 - 4924."
rArGrG/rUrGrU	-8.3	-24.5	RNA/RNA	Mismatch	"Mathews et al. (2004) Proc. Natl. Acad. Sci. USA, 101, 7287-7292 & Lu, et al. (2006) Nucleic Acids Res., 34 4912 - 4924."
rArGrG/rUrUrU	-0.5	-7.7	RNA/RNA	Mismatch	"Mathews et al. (2004) Proc. Natl. Acad. Sci. USA, 101, 7287-7292 & Lu, et al. (2006) Nucleic Acids Res., 34 4912 - 4924."
rArUrG/rUrArU	-0.5	-7.7	RNA/RNA	Mismatch	"Mathews et al. (2004) Proc. Natl. Acad. Sci. USA, 101, 7287-7292 & Lu, et al. (2006) Nucleic Acids Res., 34 4912 - 4924."
rArUrG/rUrCrU	-0.5	-7.7	RNA/RNA	Mismatch	"Mathews et al. (2004) Proc. Natl. Acad. Sci. USA, 101, 7287-7292 & Lu, et al. (2006) Nucleic Acids Res., 34 4912 - 4924."
rArUrG/rUrGrU	-0.5	-7.7	RNA/RNA	Mismatch	"Mathews et al. (2004) Proc. Natl. Acad. Sci. USA, 101, 7287-7292 & Lu, et al. (2006) Nucleic Acids Res., 34 4912 - 4924."
rArUrG/rUrUrU	-3.9	-17.7	RNA/RNA	Mismatch	"Mathews et al. (2004) Proc. Natl. Acad. Sci. USA, 101, 7287-7292 & Lu, et al. (2006) Nucleic Acids Res., 34 4912 - 4924."
rArArU/rUrArG	-0.5	-7.7	RNA/RNA	Mismatch	"Mathews et al. (2004) Proc. Natl. Acad. Sci. USA, 101, 7287-7292 & Lu, et al. (2006) Nucleic Acids Res., 34 4912 - 4924."
rArArU/rUrCrG	-0.5	-7.7	RNA/RNA	Mismatch	"Mathews et al. (2004) Proc. Natl. Acad. Sci. USA, 101, 7287-7292 & Lu, et al. (2006) Nucleic Acids Res., 34 4912 - 4924."
rArArU/rUrGrG	-0.5	-7.7	RNA/RNA	Mismatch	"Mathews et al. (2004) Proc. Natl. Acad. Sci. USA, 101, 7287-7292 & Lu, et al. (2006) Nucleic Acids Res., 34 4912 - 4924."
rArArU/rUrUrG	-0.5	-7.7	RNA/RNA	Mismatch	"Mathews et al. (2004) Proc. Natl. Acad. Sci. USA, 101, 7287-7292 & Lu, et al. (2006) Nucleic Acids Res., 34 4912 - 4924."
rArCrU/rUrArG	-0.5	-7.7	RNA/RNA	Mismatch	"Mathews et al. (2004) Proc. Natl. Acad. Sci. USA, 101, 7287-7292 & Lu, et al. (2006) Nucleic Acids Res., 34 4912 - 4924."
rArCrU/rUrCrG	-0.5	-7.7	RNA/RNA	Mismatch	"Mathews et al. (2004) Proc. Natl. Acad. Sci. USA, 101, 7287-7292 & Lu, et al. (2006) Nucleic Acids Res., 34 4912 - 4924."
rArCrU/rUrGrG	-0.5	-7.7	RNA/RNA	Mismatch	"Mathews et al. (2004) Proc. Natl. Acad. Sci. USA, 101, 7287-7292 & Lu, et al. (2006) Nucleic Acids Res., 34 4912 - 4924."
rArCrU/rUrUrG	-0.5	-7.7	RNA/RNA	Mismatch	"Mathews et al. (2004) Proc. Natl. Acad. Sci. USA, 101, 7287-7292 & Lu, et al. (2006) Nucleic Acids Res., 34 4912 - 4924."
rArGrU/rUrArG	-0.5	-7.7	RNA/RNA	Mismatch	"Mathews et al. (2004) Proc. Natl. Acad. Sci. USA, 101, 7287-7292 & Lu, et al. (2006) Nucleic Acids Res., 34 4912 - 4924."
rArGrU/rUrCrG	-0.5	-7.7	RNA/RNA	Mismatch	"Mathews et al. (2004) Proc. Natl. Acad. Sci. USA, 101, 7287-7292 & Lu, et al. (2006) Nucleic Acids Res., 34 4912 - 4924."
rArGrU/rUrGrG	-8.3	-24.5	RNA/RNA	Mismatch	"Mathews et al. (2004) Proc. Natl. Acad. Sci. USA, 101, 7287-7292 & Lu, et al. (2006) Nucleic Acids Res., 34 4912 - 4924."
rArGrU/rUrUrG	-0.5	-7.7	RNA/RNA	Mismatch	"Mathews et al. (2004) Proc. Natl. Acad. Sci. USA, 101, 7287-7292 & Lu, et al. (2006) Nucleic Acids Res., 34 4912 - 4924."
rArUrU/rUrArG	-0.5	-7.7	RNA/RNA	Mismatch	"Mathews et al. (2004) Proc. Natl. Acad. Sci. USA, 101, 7287-7292 & Lu, et al. (2006) Nucleic Acids Res., 34 4912 - 4924."
rArUrU/rUrCrG	-0.5	-7.7	RNA/RNA	Mismatch	"Mathews et al. (2004) Proc. Natl. Acad. Sci. USA, 101, 7287-7292 & Lu, et al. (2006) Nucleic Acids Res., 34 4912 - 4924."
rArUrU/rUrGrG	-0.5	-7.7	RNA/RNA	Mismatch	"Mathews et al. (2004) Proc. Natl. Acad. Sci. USA, 101, 7287-7292 & Lu, et al. (2006) Nucleic Acids Res., 34 4912 - 4924."
rArUrU/rUrUrG	-7.3	-27.4	RNA/RNA	Mismatch	"Mathews et al. (2004) Proc. Natl. Acad. Sci. USA, 101, 7287-7292 & Lu, et al. (2006) Nucleic Acids Res., 34 4912 - 4924."
rCrArA/rGrArU	-5.5	-21.6	RNA/RNA	Mismatch	"Mathews et al. (2004) Proc. Natl. Acad. Sci. USA, 101, 7287-7292 & Lu, et al. (2006) Nucleic Acids Res., 34 4912 - 4924."
rCrArA/rGrCrU	-5.5	-21.6	RNA/RNA	Mismatch	"Mathews et al. (2004) Proc. Natl. Acad. Sci. USA, 101, 7287-7292 & Lu, et al. (2006) Nucleic Acids Res., 34 4912 - 4924."
rCrArA/rGrGrU	-5.5	-21.6	RNA/RNA	Mismatch	"Mathews et al. (2004) Proc. Natl. Acad. Sci. USA, 101, 7287-7292 & Lu, et al. (2006) Nucleic Acids Res., 34 4912 - 4924."
rCrArA/rGrUrU	-5.5	-21.6	RNA/RNA	Mismatch	"Mathews et al. (2004) Proc. Natl. Acad. Sci. USA, 101, 7287-7292 & Lu, et al. (2006) Nucleic Acids Res., 34 4912 - 4924."
rCrCrA/rGrArU	-5.5	-21.6	RNA/RNA	Mismatch	"Mathews et al. (2004) Proc. Natl. Acad. Sci. USA, 101, 7287-7292 & Lu, et al. (2006) Nucleic Acids Res., 34 4912 - 4924."
rCrCrA/rGrCrU	-5.5	-21.6	RNA/RNA	Mismatch	"Mathews et al. (2004) Proc. Natl. Acad. Sci. USA, 101, 7287-7292 & Lu, et al. (2006) Nucleic Acids Res., 34 4912 - 4924."
rCrCrA/rGrGrU	-5.5	-21.6	RNA/RNA	Mismatch	"Mathews et al. (2004) Proc. Natl. Acad. Sci. USA, 101, 7287-7292 & Lu, et al. (2006) Nucleic Acids Res., 34 4912 - 4924."
rCrCrA/rGrUrU	-5.5	-21.6	RNA/RNA	Mismatch	"Mathews et al. (2004) Proc. Natl. Acad. Sci. USA, 101, 7287-7292 & Lu, et al. (2006) Nucleic Acids Res., 34 4912 - 4924."
rCrGrA/rGrArU	-5.5	-21.6	RNA/RNA	Mismatch	"Mathews et al. (2004) Proc. Natl. Acad. Sci. USA, 101, 7287-7292 & Lu, et al. (2006) Nucleic Acids Res., 34 4912 - 4924."
rCrGrA/rGrCrU	-5.5	-21.6	RNA/RNA	Mismatch	"Mathews et al. (2004) Proc. Natl. Acad. Sci. USA, 101, 7287-7292 & Lu, et al. (2006) Nucleic Acids Res., 34 4912 - 4924."
rCrGrA/rGrGrU	-13.4	-38.7	RNA/RNA	Mismatch	"Mathews et al. (2004) Proc. Natl. Acad. Sci. USA, 101, 7287-7292 & Lu, et al. (2006) Nucleic Acids Res., 34 4912 - 4924."
rCrGrA/rGrUrU	-5.5	-21.6	RNA/RNA	Mismatch	"Mathews et al. (2004) Proc. Natl. Acad. Sci. USA, 101, 7287-7292 & Lu, et al. (2006) Nucleic Acids Res., 34 4912 - 4924."
rCrUrA/rGrArU	-5.5	-21.6	RNA/RNA	Mismatch	"Mathews et al. (2004) Proc. Natl. Acad. Sci. USA, 101, 7287-7292 & Lu, et al. (2006) Nucleic Acids Res., 34 4912 - 4924."
rCrUrA/rGrCrU	-5.5	-21.6	RNA/RNA	Mismatch	"Mathews et al. (2004) Proc. Natl. Acad. Sci. USA, 101, 7287-7292 & Lu, et al. (2006) Nucleic Acids Res., 34 4912 - 4924."
rCrUrA/rGrGrU	-5.5	-21.6	RNA/RNA	Mismatch	"Mathews et al. (2004) Proc. Natl. Acad. Sci. USA, 101, 7287-7292 & Lu, et al. (2006) Nucleic Acids Res., 34 4912 - 4924."
rCrUrA/rGrUrU	-5.5	-21.6	RNA/RNA	Mismatch	"Mathews et al. (2004) Proc. Natl. Acad. Sci. USA, 101, 7287-7292 & Lu, et al. (2006) Nucleic Acids Res., 34 4912 - 4924."
rCrArC/rGrArG	-10.5	-36.8	RNA/RNA	Mismatch	"Mathews et al. (2004) Proc. Natl. Acad. Sci. USA, 101, 7287-7292 & Lu, et al. (2006) Nucleic Acids Res., 34 4912 - 4924."
rCrArC/rGrCrG	-10.5	-32.6	RNA/RNA	Mismatch	"Mathews et al. (2004) Proc. Natl. Acad. Sci. USA, 101, 7287-7292 & Lu, et al. (2006) Nucleic Acids Res., 34 4912 - 4924."
rCrArC/rGrGrG	-10.5	-35.5	RNA/RNA	Mismatch	"Mathews et al. (2004) Proc. Natl. Acad. Sci. USA, 101, 7287-7292 & Lu, et al. (2006) Nucleic Acids Res., 34 4912 - 4924."
rCrArC/rGrUrG	-10.5	-35.5	RNA/RNA	Mismatch	"Mathews et al. (2004) Proc. Natl. Acad. Sci. USA, 101, 7287-7292 & Lu, et al. (2006) Nucleic Acids Res., 34 4912 - 4924."
rCrCrC/rGrArG	-10.5	-34.8	RNA/RNA	Mismatch	"Mathews et al. (2004) Proc. Natl. Acad. Sci. USA, 101, 7287-7292 & Lu, et al. (2006) Nucleic Acids Res., 34 4912 - 4924."
rCrCrC/rGrCrG	-10.5	-35.5	RNA/RNA	Mismatch	"Mathews et al. (2004) Proc. Natl. Acad. Sci. USA, 101, 7287-7292 & Lu, et al. (2006) Nucleic Acids Res., 34 4912 - 4924."
rCrCrC/rGrGrG	-10.5	-35.5	RNA/RNA	Mismatch	"Mathews et al. (2004) Proc. Natl. Acad. Sci. USA, 101, 7287-7292 & Lu, et al. (2006) Nucleic Acids Res., 34 4912 - 4924."
